og_index,tconst
1126509,10275980
1126511,10275984
1126512,10275986
1126517,10275994
1126521,10276002
1126527,10276014
1126551,10276054
1126561,10276074
1126583,10276114
1126602,10276148
1126614,10276168
1126700,10276328
1126832,10276554
1126845,10276578
1126920,10276706
1127182,10277158
1127197,10277182
1127529,10277744
1127756,10278136
1127837,10278270
1127840,10278276
1127871,10278334
1127902,10278386
1127932,10278446
1127937,10278456
1127938,10278458
1128010,10278584
1128079,10278708
1128203,10278930
1128242,10279000
1128248,10279010
1128289,10279088
1128291,10279090
1128292,10279092
1128293,10279094
1128295,10279098
1128297,10279100
1128298,10279102
1128299,10279104
1128319,10279140
1128572,10279592
1128902,10280172
1128910,10280188
1128928,10280220
1129167,10280636
1129174,10280648
1129188,10280672
1129307,10280886
1129647,10281468
1129704,10281564
1130043,10282146
1130113,10282264
1130511,10282962
1130622,10283158
1130666,10283234
1130758,10283398
1131079,10283960
1131088,10283978
1131408,10284554
1131499,10284716
1131727,10285114
1131778,10285208
1132143,10285826
1132328,10286140
1132679,10286746
1133039,10287376
1133171,10287616
1133284,10287812
1133317,10287880
1133369,10287980
1133490,10288202
1133630,10288448
1133851,10288820
1133927,10288952
1134062,10289196
1134142,10289336
1134151,10289350
1134273,10289564
1134355,10289708
1134460,10289896
1134519,10289996
1134557,10290062
1134589,10290116
1134592,10290120
1134636,10290198
1134648,10290218
1134682,10290288
1134700,10290322
1134784,10290470
1134785,10290472
1134890,10290650
1134923,10290706
1135028,10290886
1135094,10290998
1135415,10291544
1135472,10291640
1135476,10291648
1135542,10291764
1135640,10291928
1135714,10292050
1135725,10292070
1135752,10292116
1136048,10292620
1136120,10292742
1136256,10292974
1136258,10292978
1136309,10293074
1136615,10293606
1136650,10293664
1136742,10293820
1136780,10293884
1136878,10294052
1137045,10294344
1137079,10294406
1137108,10294458
1137338,10294858
1137463,10295076
1137481,10295106
1137723,10295526
1137765,10295596
1137768,10295602
1137784,10295630
1137813,10295684
1137843,10295746
1137855,10295770
1137885,10295824
1137890,10295834
1137929,10295902
1137936,10295918
1138148,10296286
1138154,10296296
1138224,10296414
1138424,10296750
1138620,10297078
1138653,10297132
1138707,10297240
1138739,10297320
1138861,10297530
1138928,10297648
1138976,10297728
1138979,10297734
1138981,10297738
1139093,10297928
1139139,10298006
1139148,10298024
1139159,10298042
1139164,10298052
1139244,10298200
1139245,10298202
1139391,10298454
1139411,10298490
1139569,10298770
1139768,10299136
1139769,10299138
1139771,10299144
1139772,10299146
1139781,10299162
1139911,10299400
1139933,10299440
1139983,10299528
1140044,10299640
1140054,10299658
1140118,10299774
1140152,10299842
1140332,10300154
1140338,10300166
1140342,10300174
1140385,10300254
1140398,10300276
1140404,10300286
1140413,10300302
1140431,10300334
1140438,10300346
1140458,10300380
1140499,10300452
1140562,10300564
1140568,10300576
1140569,10300578
1140572,10300582
1140584,10300602
1140602,10300632
1140603,10300634
1140608,10300646
1140609,10300648
1140617,10300662
1140624,10300674
1140628,10300682
1140645,10300710
1140693,10300800
1140966,10301262
1141202,10301662
1141297,10301824
1141362,10301936
1141576,10302302
1141762,10302626
1141771,10302640
1141882,10302826
1141941,10302924
1141945,10302930
1141946,10302932
1141953,10302946
1142277,10303516
1142494,10303892
